trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-55.444935383995166,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-207.33363816258915,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-52.880952184937144,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-113.24939784325129,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-89.57839112761752,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-19.035293234415875,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.965}",35,0,-128.71877785637543,"{0: 22, 1: 5, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-145.89842282592736,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-191.3301303347865,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",35,3,-117.3425418820255,"{0: 21, 1: 1, 2: 8, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-101.50689271847422,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-149.82451878872556,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-62.922468617559154,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-112.29233611866896,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-123.93793994557151,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-179.95076571358643,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-112.31090667145973,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-65.72770351340162,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-150.73237934286436,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
