trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.9975}",20,0,-14.797420483466537,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.35, 'e': 0.9950000000000001}",20,0,-168.88511761694906,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.35, 'e': 0.9925000000000002}",25,0,-249.6074270317709,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 5}",0
4,False,"{'a': 0.35, 'e': 0.9900000000000002}",20,4,-95.70442705894203,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.35, 'e': 0.9875000000000003}",20,0,-133.1500207524137,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 0.35, 'e': 0.9850000000000003}",25,0,-64.57651004886142,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.9825000000000004}",20,0,-75.95563996847272,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.35, 'e': 0.9800000000000004}",30,0,-121.43619457274485,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.35, 'e': 0.9775000000000005}",25,0,-143.19367920806226,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.35, 'e': 0.9750000000000005}",30,9,-87.92025928819487,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.35, 'e': 0.9725000000000006}",20,0,-220.32303565694326,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.35, 'e': 0.9700000000000006}",20,0,-119.59614884564415,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.35, 'e': 0.9675000000000007}",20,0,-188.26506312036128,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.35, 'e': 0.9650000000000007}",25,0,-158.28890407215556,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.35, 'e': 0.9625000000000008}",20,0,-69.38257759645367,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.35, 'e': 0.9600000000000009}",25,13,-78.50136346423157,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.35, 'e': 0.9575000000000009}",30,0,-182.90555951086196,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.35, 'e': 0.955000000000001}",20,0,-69.55514689421052,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.35, 'e': 0.952500000000001}",20,0,-10.151114892573467,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.35, 'e': 0.9500000000000011}",30,0,-125.84693641375075,"{0: 18, 1: 6, 2: 2, 3: 3, 4: 1}",0
21,False,"{'a': 0.35, 'e': 0.9475000000000011}",25,0,-134.5550051920833,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.35, 'e': 0.9450000000000012}",20,11,-23.69957675832312,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.35, 'e': 0.9425000000000012}",30,0,-131.15758571634737,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.35, 'e': 0.9400000000000013}",25,0,-173.35135420248398,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
25,False,"{'a': 0.35, 'e': 0.9375000000000013}",20,0,-138.25672286107402,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.35, 'e': 0.9350000000000014}",20,0,-94.20873077556898,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.35, 'e': 0.9325000000000014}",25,0,-132.09258383668384,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.35, 'e': 0.9300000000000015}",25,5,-47.77390634822603,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
29,False,"{'a': 0.35, 'e': 0.9275000000000015}",20,0,-46.502971339935655,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.35, 'e': 0.9250000000000016}",25,0,-131.4820417593019,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.35, 'e': 0.9225000000000017}",35,0,-157.1011666259856,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
32,False,"{'a': 0.35, 'e': 0.9200000000000017}",20,0,-46.75959896610251,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.35, 'e': 0.9175000000000018}",25,0,-161.92808852408677,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
34,False,"{'a': 0.35, 'e': 0.9150000000000018}",20,1,-91.88071488558896,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
35,False,"{'a': 0.35, 'e': 0.9125000000000019}",25,0,-115.81100735219898,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
36,False,"{'a': 0.35, 'e': 0.9100000000000019}",25,0,-84.20331649848757,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.35, 'e': 0.907500000000002}",25,0,-125.10217309018806,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.35, 'e': 0.905000000000002}",25,0,-171.96578733698271,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.35, 'e': 0.9025000000000021}",20,0,-49.9773109499903,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.35, 'e': 0.9000000000000021}",20,0,-178.19754645398052,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
