trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9975}",20,0,-73.81826348943946,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9950000000000001}",35,0,-159.005635577076,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9925000000000002}",20,0,-73.93849227247634,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9900000000000002}",20,1,-90.265503778467,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9875000000000003}",30,0,-118.76711131961908,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9850000000000003}",25,0,-120.93929057299924,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9825000000000004}",20,6,-47.62658751618235,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9800000000000004}",20,0,-74.97206094605599,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9775000000000005}",25,0,-150.1207680951417,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9750000000000005}",20,0,-145.38284915256565,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9725000000000006}",20,0,-42.65359731173969,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9700000000000006}",20,0,-149.88090549394693,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9675000000000007}",25,0,-147.29254984754783,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9650000000000007}",25,0,-84.2191643772949,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9625000000000008}",20,0,-99.12533285060492,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9600000000000009}",20,0,-99.3022003320654,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9575000000000009}",25,0,-105.50785160005044,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.955000000000001}",20,0,-110.89871651913289,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.952500000000001}",20,0,-53.402350941870374,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9500000000000011}",25,0,-92.95124771864765,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.0}",25,0,-56.444902437493056,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0.0}",30,0,-227.29946963140657,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.0}",20,0,-61.83122589857433,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.0}",25,0,-121.43892787998902,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0.0}",25,0,-195.9401997571962,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 0.0}",30,0,-139.85151521459747,"{0: 20, 1: 4, 2: 1, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 0.0}",25,0,-125.03943539851481,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0.0}",25,0,-96.71591598469976,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0.0}",25,0,-104.87393845773728,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 0.0}",20,0,-83.43627513438713,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
